ZCTA5CE20,total,hispanic,white,black,asian,ai,pi,other,multi
11208,101958,43870,2054,35701,12662,467,27,2676,4501
11209,73239,13371,45261,1583,10002,60,7,626,2329
11210,62805,5386,18419,31565,2946,98,11,932,3448
11211,68540,16186,42328,2463,4066,69,22,939,2467
11212,91574,16956,1616,66476,841,229,29,842,4585
11213,67217,7947,16092,36680,1616,84,13,1468,3317
11214,96560,14849,37469,1285,39557,56,16,448,2880
11215,67493,10231,44402,2699,5556,56,19,532,3998
11216,61251,7380,18005,27812,3631,119,25,633,3646
11217,42417,6902,21259,7336,4017,59,21,347,2476
11218,78642,14090,37060,5686,16909,96,10,1273,3518
11219,103447,12312,57546,1025,26908,52,10,3553,2041
11220,105797,38808,13611,1744,49515,100,19,596,1404
11221,89222,29570,19077,31380,4222,185,66,795,3927
11222,41957,6664,29174,1298,2688,49,13,296,1775
11223,83519,12303,40556,3134,24483,40,7,630,2366
11224,46019,8372,21962,10005,4053,56,23,342,1206
11225,58786,6419,15192,30983,1895,85,12,901,3299
11226,101727,17326,13687,59232,4605,198,28,1086,5565
11228,45906,6015,20943,328,17679,33,10,179,719
11229,83669,7514,48143,4355,20060,67,15,509,3006
11230,91391,9344,54236,6537,16123,55,14,1271,3811
11231,37240,7029,21822,3885,2209,34,18,279,1964
11232,30181,14684,7029,1991,5388,35,8,250,796
11233,75399,12805,7631,48599,1656,243,16,614,3835
11234,92133,8528,33397,38230,7328,126,10,935,3579
11235,88482,8564,59068,2537,14468,48,16,568,3213
11236,100687,7927,3573,80746,1943,150,18,1030,5300
11237,49418,28219,12219,3160,3636,103,30,569,1482
11238,60090,7222,26363,17436,4729,72,17,561,3690
11239,17038,3344,2595,9873,424,33,0,130,639
11249,42024,7194,28302,1934,2465,41,12,564,1512
11354,61276,9785,7441,1894,41026,27,9,291,803
11355,89465,12228,4751,1984,69106,63,7,445,881
11356,28310,12086,5329,415,9864,31,3,170,412
11357,42319,6232,22801,380,12061,12,7,222,604
11358,40435,7462,11437,471,20298,12,6,177,572
11359,0,0,0,0,0,0,0,0,0
11360,20039,2253,10320,365,6596,11,2,126,366
11361,29116,4334,10172,799,13073,15,6,158,559
11362,18139,1724,7109,336,8548,11,2,90,319
11363,7208,780,3294,72,2810,5,0,35,212
11364,37032,3783,10550,1007,20694,21,0,235,742
11365,46908,8546,10197,3867,22692,66,5,391,1144
11366,14430,1928,4758,777,6305,10,4,214,434
11367,43112,6809,17792,3274,13334,57,7,562,1277
11368,117110,89135,4417,8172,12848,195,21,1029,1293
11369,40805,26273,2413,5171,5709,86,9,495,649
11370,34683,14711,8098,2772,8230,36,13,354,469
11371,0,0,0,0,0,0,0,0,0
11372,68000,36755,11028,1104,16857,99,16,763,1378
11373,105712,42005,5420,1589,54436,133,18,716,1395
11374,47129,9037,18561,1395,15284,62,4,639,2147
11375,72851,10801,34261,2132,21575,37,11,850,3184
11377,91512,32539,16647,2567,37026,96,20,815,1802
11378,38288,12486,18233,541,6107,27,13,331,550
11379,37906,8180,23271,434,5017,31,7,221,745
11385,100883,43183,44151,2842,7478,97,35,896,2201
11411,19579,1419,270,16421,313,64,7,250,835
11412,37958,3601,388,29646,1334,145,25,759,2060
11413,42978,3645,621,35272,579,163,14,601,2083
11414,27320,6865,17123,842,1584,28,10,259,609
11415,20241,5299,8279,1569,3840,40,0,390,824
11416,28381,11414,2595,1700,9341,304,13,1549,1465
11417,31229,11246,5193,2580,8144,378,6,1989,1693
11418,37596,16711,5418,2914,8223,372,45,2039,1874
11419,47430,8495,1867,6056,16693,1405,73,7579,5262
11420,47383,9120,2492,10483,11330,1457,97,6671,5733
11421,42586,25004,5735,1739,7797,148,22,1107,1034
11422,32839,3324,982,25587,720,114,10,519,1583
11423,31985,5138,2442,11061,8378,330,38,2490,2108
11424,0,0,0,0,0,0,0,0,0
11426,19343,3111,4848,1027,9294,69,13,436,545
11427,24555,3997,3605,5063,9324,154,32,1297,1083
11428,19516,4418,1449,3973,5982,265,21,1902,1506
11429,25895,3568,557,17565,1991,110,16,724,1364
11430,571,139,74,337,6,1,0,3,11
11432,65743,14933,6949,9791,29313,279,69,2020,2389
11433,39071,7483,497,20833,6421,292,45,1367,2133
11434,66964,7223,926,50652,2552,393,57,1486,3675
11435,58980,18245,6261,12781,15391,676,38,2647,2941
11436,20620,3042,333,10773,2419,428,50,1648,1927
11439,2376,436,1160,469,167,2,0,10,132
11451,1,0,1,0,0,0,0,0,0
11691,64673,17400,13960,27770,1526,250,45,1138,2584
11692,22776,5438,2473,12188,1102,119,14,361,1081
11693,12467,2708,5527,3164,457,27,0,174,410
11694,19780,2895,14009,1738,455,16,10,175,482
11697,4468,149,4219,6,13,2,0,24,55
